,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
35015,City of La Crosse        ,0.172,LA CROSSE, 1720 30TH ST   S,108400,117700,23900,26000,132300,143700,90300,108000,18700,22400,109000,130400
2274,Town of Burns            ,24.88,BANGOR,  STATE ROAD 16      ,0,0,5400,0,5400,0,0,0,5300,0,5300,0
63857,Town of Greenfield       ,39.23,COON VALLEY,  COUNTY ROAD M      ,0,0,39300,0,39300,0,0,0,39300,0,39300,0
19443,Village of Bangor        ,0.41,BANGOR, 211 19TH AVE  S,89100,94100,22800,24100,111900,118200,89100,90100,22800,23100,111900,113200
42435,City of Onalaska         ,0.21,ONALASKA, 1009 QUINCY ST   ,141400,142900,34500,34900,175900,177800,109900,119700,35200,38300,145100,158000
1253,Town of Barre            ,4.23,WEST SALEM,  COUNTY ROAD O      ,0,0,4400,5100,4400,5100,0,0,4400,5000,4400,5000
38474,City of La Crosse        ,0.202,LA CROSSE, 3021 ROBIN HOOD DR   ,107000,116200,23100,25100,130100,141300,67900,81200,20700,24800,88600,106000
18162,Town of Shelby           ,0.01,LA CROSSE,  LINWOOD CT   ,0,0,100,100,100,100,0,0,100,100,100,100
34192,City of La Crosse        ,0.115,LA CROSSE, 2112 JOHNSON ST   ,92500,100400,28400,30800,120900,131200,77500,92700,18600,22300,96100,115000
56509,Town of Onalaska         ,0.692,ONALASKA, W5967 SCHULTZ LN   ,237700,305900,24200,31100,261900,337000,230600,279600,24200,29300,254800,308900
20044,Village of Bangor        ,0.2,BANGOR, 1909 HENRY JOHNS BLVD ,140200,148100,22200,23400,162400,171500,140200,141800,22200,22400,162400,164200
47873,Village of Holmen        ,0.34,HOLMEN, 317 CYPRESS CIRCLE LN   ,213300,207500,44900,43700,258200,251200,160700,189200,32500,38300,193200,227500
17864,Town of Shelby           ,0.67,LA CROSSE, N1267 LESKE RD   ,215400,240800,26200,29300,241600,270100,215400,232100,26200,28200,241600,260300
33110,City of La Crosse        ,0.07,LA CROSSE, 713 14TH ST   S,91500,99400,17600,19100,109100,118500,73900,88400,18600,22300,92500,110700
31476,City of La Crosse        ,0.137,LA CROSSE, 420 6TH ST   S,105300,114300,19800,21500,125100,135800,81400,97400,19200,23000,100600,120400
65501,City of La Crosse        ,0.11,LA CROSSE, 2647 15TH ST   S,146500,159100,24900,27000,171400,186100,109300,130800,11900,14200,121200,145000
41596,City of Onalaska         ,0.15,ONALASKA, 903 WILSON ST   ,149800,151400,26700,27000,176500,178400,88500,96400,24400,26600,112900,123000
37566,City of La Crosse        ,0.205,LA CROSSE, 2819 29TH CT   S,222200,241300,24000,26100,246200,267400,179500,214700,23600,28200,203100,242900
39089,City of La Crosse        ,0.168,LA CROSSE, 2208 19TH ST   S,52900,57400,33800,36700,86700,94100,48600,58100,31400,37600,80000,95700
16936,Town of Shelby           ,0.26,LA CROSSE, 2220 REDWOOD CT   ,102300,114400,25900,29000,128200,143400,102300,110300,25900,27900,128200,138200
29357,City of La Crosse        ,0.172,LA CROSSE, 422 10TH ST   N,109600,119000,45200,49100,154800,168100,109600,131100,45200,54100,154800,185200
41461,City of Onalaska         ,0.23,ONALASKA, 527 SAND LAKE RD   ,147300,148900,39600,40000,186900,188900,111600,121500,37700,41100,149300,162600
45481,Village of Holmen        ,1.31,HOLMEN, 613 MCHUGH RD   ,1086100,1056600,140000,136200,1226100,1192800,797300,938900,81800,96300,879100,1035200
12259,Town of Medary           ,1.14,LA CROSSE, W5418 COUNTY ROAD B      ,144000,157400,40700,44500,184700,201900,144000,148000,40700,41800,184700,189800
4209,Town of Campbell         ,0.63,LA CROSSE, 901 LAKEVIEW DR   ,150000,161700,57200,61700,207200,223400,150000,161200,57200,61500,207200,222700
32170,City of La Crosse        ,0.134,LA CROSSE, 407 23RD ST   S,128100,139100,39500,42900,167600,182000,101100,120900,24600,29400,125700,150300
11939,Town of Holland          ,0.47,HOLMEN, N8314 DUCKE DR   ,223600,287300,19400,24900,243000,312200,223600,269900,19400,23400,243000,293300
18039,Town of Shelby           ,1.34,LA CROSSE, W4971 HOETH ST   ,170500,190600,37200,41600,207700,232200,170500,183800,37200,40100,207700,223900
68579,Town of Washington       ,23.14,COON VALLEY, N958 STATE ROAD 162      ,228500,0,29400,0,257900,0,170000,0,20700,0,190700,0
72048,City of La Crosse        ,0.31,LA CROSSE, 6116 RIVER RUN RD   ,0,0,52100,56600,52100,56600,0,0,0,0,0,0
33121,City of La Crosse        ,0.13,LA CROSSE, 1432 WINNEBAGO ST   ,122700,133200,24700,26800,147400,160000,108100,129300,27300,32700,135400,162000
35378,City of La Crosse        ,0.033,LA CROSSE, 1501 ROSE ST   ,63200,68600,4300,4700,67500,73300,39300,47000,4300,5100,43600,52100
19611,Village of Bangor        ,0.13,BANGOR, 1607 CARDINAL ST   ,136000,143600,9900,10500,145900,154100,136000,137500,9900,10000,145900,147500
35821,City of La Crosse        ,0.104,LA CROSSE, 2115 17TH ST   S,400,400,23500,25500,23900,25900,0,0,17700,21200,17700,21200
25452,City of La Crosse        ,0.162,LA CROSSE, 1431 LOOMIS ST   ,75100,81500,20000,21700,95100,103200,63500,76000,16700,20000,80200,96000
49156,Village of Holmen        ,0.25,HOLMEN, 1010 SADDLEWOOD ST   ,214800,209000,45500,44300,260300,253300,198200,233400,32500,38300,230700,271700
44377,City of Onalaska         ,0.275,ONALASKA, 521 FLINT ST   ,139700,141200,30500,30800,170200,172000,89600,97600,31100,33900,120700,131500
63106,Town of Holland          ,31.69,HOLMEN, N8459 COUNTY ROAD TT      ,87600,112600,109200,140300,196800,252900,72500,87500,80600,97300,153100,184800
65931,City of La Crosse        ,0.151,LA CROSSE, 1731 MADISON ST   ,116100,126100,39000,42300,155100,168400,91200,109100,29200,34900,120400,144000
69527,Town of Washington       ,19.33,BANGOR, N2381 STATE ROAD 162      ,129600,130600,79600,80200,209200,210800,96000,122000,56400,71700,152400,193700
51059,City of Onalaska         ,0.3,ONALASKA, 2301 KRAUSE RD   ,320200,323600,59500,60100,379700,383700,291500,317500,39400,42900,330900,360400
12571,Town of Medary           ,4.34,LA CROSSE,  PUENT RD   ,0,0,11500,12600,11500,12600,0,0,11500,11800,11500,11800
42851,City of Onalaska         ,0.12,ONALASKA, 730 10TH AVE  N,110200,111400,13500,13600,123700,125000,99800,108700,10500,11400,110300,120100
45097,City of Onalaska         ,2.51,ONALASKA, 447 COUNTRY CLUB LN   ,729000,736700,109900,111100,838900,847800,631200,687400,116000,126300,747200,813700
30687,City of La Crosse        ,0.16,LA CROSSE, 1112 7TH ST   S,76400,83000,15400,16700,91800,99700,45000,53800,12300,14700,57300,68500
7011,Town of Greenfield       ,1.34,LA CROSSE, W2912 KLOSS RD   ,158800,184300,27600,32000,186400,216300,158800,184200,27600,32000,186400,216200
55521,Town of Shelby           ,5.43,LA CROSSE, W4775 DEERVIEW DR   ,397300,444100,62000,69300,459300,513400,397300,428200,62000,66800,459300,495000
36607,City of La Crosse        ,0.182,LA CROSSE, 2272 COULEE DR   ,150600,163500,31400,34100,182000,197600,124600,149100,24500,29300,149100,178400
60775,City of La Crosse        ,0.172,LA CROSSE, 1806 CHARLES ST   ,120800,131200,20100,21800,140900,153000,93400,111700,19100,22800,112500,134500
11711,Town of Holland          ,0.58,HOLMEN, N6930 SKYVIEW CT   ,213200,274000,22700,29200,235900,303200,213200,257400,22700,27400,235900,284800
23929,City of La Crosse        ,0.086,LA CROSSE, 620 HAGAR ST   ,92500,100400,9100,9900,101600,110300,75500,90300,8800,10500,84300,100800
29274,City of La Crosse        ,0.193,LA CROSSE, 521 10TH ST   N,213100,231400,51200,55600,264300,287000,213100,254900,51200,61200,264300,316100
21395,Village of Holmen        ,0.115,HOLMEN, 153 WIMBLEDON LN   ,7800,7600,3000,2900,10800,10500,7000,8200,2000,2400,9000,10600
58799,Town of Farmington       ,34.98,MINDORO,  PERKINS RD   ,0,0,29800,0,29800,0,0,0,29800,0,29800,0
59991,Town of Holland          ,0.9,HOLMEN, W8033 COUNTRY AVE  ,232400,298600,35100,45100,267500,343700,232400,280500,35100,42400,267500,322900
42161,City of Onalaska         ,0.18,ONALASKA, 530 13TH PL   N,174900,176700,34200,34600,209100,211300,140300,152800,30100,32800,170400,185600
60764,City of La Crosse        ,0.172,LA CROSSE, 1720 CHARLES ST   ,93200,101200,20100,21800,113300,123000,74500,89100,19100,22800,93600,111900
63945,Village of Holmen        ,6.5,HOLMEN,  CLIFF SHADE RD   ,0,0,24400,23700,24400,23700,0,0,14100,16600,14100,16600
10578,Town of Holland          ,0.69,HOLMEN, W7597 ST CROIX AVE  ,202600,260300,20600,26500,223200,286800,202600,244600,20600,24900,223200,269500
47242,Town of Hamilton         ,4.61,WEST SALEM, N4571 COUNTY ROAD M      ,888400,1106000,198300,246900,1086700,1352900,888400,1032900,198300,230600,1086700,1263500
20467,Village of Holmen        ,0.202,HOLMEN, 1521 CLIFFVIEW DR   ,139900,136100,37000,36000,176900,172100,113200,133300,21800,25700,135000,159000
37446,City of La Crosse        ,0.224,LA CROSSE, 2878 29TH CT   S,117500,127600,24400,26500,141900,154100,94900,113500,22000,26300,116900,139800
31579,City of La Crosse        ,3.12,LA CROSSE, 724 DENTON ST   ,37924600,41179400,924200,1003500,38848800,42182900,37924600,45367600,924200,1105600,38848800,46473200
28148,City of La Crosse        ,0.121,LA CROSSE, 2223 LA CROSSE ST   ,112100,121700,21300,23100,133400,144800,88800,106200,21100,25200,109900,131400
26516,City of La Crosse        ,0.126,LA CROSSE, 2707 HAMILTON ST   ,71600,77700,16500,17900,88100,95600,68200,81600,8400,10000,76600,91600
50363,City of La Crosse        ,0.791,LA CROSSE, 1333 ROSE ST   ,773200,839600,275800,299500,1049000,1139100,773200,924900,275800,329900,1049000,1254800
44715,City of Onalaska         ,36.92,ONALASKA, 1240 SAND LAKE RD   ,0,0,42100,0,42100,0,0,0,6900,0,6900,0
1436,Town of Barre            ,40.0,LA CROSSE,  COUNTY ROAD M      ,0,0,6200,0,6200,0,0,0,6200,0,6200,0
55002,City of La Crosse        ,0.36,LA CROSSE, 620 CASS ST   ,411300,446600,189000,205200,600300,651800,411300,492000,126000,150700,537300,642700
47466,Town of Holland          ,0.69,HOLMEN, W8057 OLD CTH NA      ,225000,289100,14700,18900,239700,308000,225000,271600,14700,17700,239700,289300
17744,Town of Shelby           ,0.19,LA CROSSE, 2727 BURR OAK ST   E,87700,98000,24000,26800,111700,124800,87700,94500,24000,25900,111700,120400
36525,City of La Crosse        ,0.177,LA CROSSE, 2144 SUNRISE DR   ,93400,101400,27700,30100,121100,131500,79000,94500,19300,23100,98300,117600
70121,City of La Crosse        ,5.999,LA CROSSE, 500 FRONT ST   N,183300,199000,1133100,1230300,1316400,1429300,183300,219300,1133100,1355500,1316400,1574800
19415,Town of Washington       ,40.0,WESTBY, W665 COUNTY ROAD P      ,138500,0,18000,0,156500,0,102600,0,17500,0,120100,0
8665,Town of Hamilton         ,19.14,WEST SALEM,  SCOTCH COULEE RD   W,0,0,3800,4700,3800,4700,0,0,3800,4400,3800,4400
47787,Town of Shelby           ,0.57,LA CROSSE,  ORCHARD VALLEY DR   ,0,0,30700,34300,30700,34300,0,0,30700,33100,30700,33100
20220,Village of Holmen        ,0.7,HOLMEN, 320 NORTH STAR RD   ,35800,34800,102400,99600,138200,134400,37200,43800,71900,84700,109100,128500
49659,Town of Farmington       ,0.26,MINDORO, W3925 NORTH ST   ,108600,137500,7000,8900,115600,146400,108600,129200,7000,8300,115600,137500
46272,Town of Greenfield       ,5.49,LA CROSSE, N1555 MEADOW RIDGE RD   ,275600,319900,54900,63700,330500,383600,275600,319700,54900,63700,330500,383400
52654,Village of Holmen        ,0.367,HOLMEN, 1300 CHERRY LN   S,225800,219700,43700,42500,269500,262200,201400,237200,36700,43200,238100,280400
64771,Town of Greenfield       ,11.65,LA CROSSE,  WUENSCH RD   ,0,0,1800,0,1800,0,0,0,1700,0,1700,0
17009,Town of Shelby           ,0.22,LA CROSSE, 2231 HIAWATHA AVE  ,247300,276400,25200,28200,272500,304600,247300,266500,25200,27200,272500,293700
11654,Town of Holland          ,1.0,HOLMEN, N8691 HANSON DR   ,39400,50600,37000,47500,76400,98100,39400,47600,37000,44700,76400,92300
13857,Town of Onalaska         ,1.2,ONALASKA, N5409 ASPEN RD   ,198600,255500,26000,33500,224600,289000,198600,240800,26000,31500,224600,272300
28853,City of La Crosse        ,0.124,LA CROSSE, 231 17TH PL   S,171500,186200,41700,45300,213200,231500,136200,162900,30400,36400,166600,199300
10069,Town of Holland          ,1.77,HOLMEN, W7140 HERAM RD   ,27700,35600,24200,31100,51900,66700,27700,33400,24200,29200,51900,62600
45657,Town of Campbell         ,0.17,LA CROSSE, 1633 LAKESHORE DR   ,63500,68500,57400,61900,120900,130400,63500,68200,57400,61700,120900,129900
63169,Town of Bangor           ,0.59,BANGOR, N4286 KRAUSE RD   ,94900,110500,5900,6900,100800,117400,94900,106700,5900,6600,100800,113300
68689,Town of Onalaska         ,6.9,ONALASKA,  COUNTY ROAD ZN      ,0,0,3800,0,3800,0,0,0,3800,0,3800,0
11726,Town of Holland          ,0.57,HOLMEN, W7751 MEADOW WAY  ,165700,212900,22300,28700,188000,241600,165700,200000,22300,26900,188000,226900
65309,Town of Hamilton         ,3.81,BANGOR, W2532 STATE ROAD 16      ,116900,145500,31200,38800,148100,184300,116900,135900,31200,36300,148100,172200
9362,Town of Hamilton         ,13.13,WEST SALEM,  MOOS RD   ,0,0,13900,0,13900,0,0,0,14000,0,14000,0
31488,City of La Crosse        ,0.099,LA CROSSE, 609 6TH ST   S,98600,107100,15200,16500,113800,123600,75000,89700,13600,16300,88600,106000
2083,Town of Burns            ,1.79,BANGOR, N6071 BIG CREEK RD   ,152300,153000,35500,35700,187800,188700,152300,149900,35500,34900,187800,184800
25064,City of La Crosse        ,0.32,LA CROSSE, 1509 GEORGE ST   ,169000,183500,83500,90700,252500,274200,169000,202200,83500,99900,252500,302100
33101,City of La Crosse        ,0.086,LA CROSSE, 1403 MARKET ST   ,98900,107400,20400,22200,119300,129600,75000,89700,23600,28200,98600,117900
51770,City of Onalaska         ,0.35,ONALASKA, 2306 RYLLA ST   ,281300,284300,63700,64400,345000,348700,233300,254100,36500,39800,269800,293900
28236,City of La Crosse        ,0.155,LA CROSSE, 2407 VINE ST   ,197000,213900,45000,48900,242000,262800,156700,187500,31200,37300,187900,224800
10151,Town of Holland          ,4.98,HOLMEN, W6726 COUNTY ROAD T      ,209300,269000,35700,45900,245000,314900,209300,252700,35700,43100,245000,295800
21632,Village of Holmen        ,0.21,HOLMEN, 3210 CEDAR AVE  S,157000,152700,34600,33700,191600,186400,126800,149300,27500,32400,154300,181700
21378,Village of Holmen        ,0.116,HOLMEN, 136 WIMBLEDON LN   ,7800,7600,3000,2900,10800,10500,7000,8200,2000,2400,9000,10600
24566,City of La Crosse        ,0.187,LA CROSSE, 1216 AVON ST   ,144200,156600,14000,15200,158200,171800,119200,142600,15600,18700,134800,161300
55098,Town of Shelby           ,64.88,LA CROSSE, W5556 US HIGHWAY 14/61      ,78100,0,101700,0,179800,0,78100,0,101700,0,179800,0
9838,Town of Hamilton         ,0.46,WEST SALEM, N5171 FIRST AVE  ,150500,187400,22000,27400,172500,214800,150500,175000,22000,25600,172500,200600
12840,Town of Medary           ,0.53,ONALASKA,  MEADOW WOOD RD   ,0,0,15800,17300,15800,17300,0,0,15800,16200,15800,16200
67011,City of Onalaska         ,0.81,ONALASKA, 1407 STATE ROAD 35      ,237600,240100,186400,188400,424000,428500,302800,329800,59300,64600,362100,394400
68324,City of Onalaska         ,0.242,ONALASKA, 1146 FRASER WAY  ,267700,270500,50000,50500,317700,321000,218700,238200,49900,54300,268600,292500
9231,Town of Hamilton         ,0.56,WEST SALEM,  OLD HIGHWAY 16      ,0,0,14900,18600,14900,18600,0,0,14900,17300,14900,17300
52915,City of Onalaska         ,4.83,ONALASKA, 557 THEATER RD   ,2251600,2275400,1388600,1403300,3640200,3678700,2440000,2657400,823800,897200,3263800,3554600
65744,Town of Burns            ,12.35,BANGOR,  STATE ROAD 16      ,15700,0,26700,0,42400,0,15700,0,26600,0,42300,0
11926,Town of Holland          ,0.54,HOLMEN, W7817 BROADMOOR PARK DR   ,252400,324300,22300,28700,274700,353000,252400,304700,22300,26900,274700,331600
27337,City of La Crosse        ,0.31,LA CROSSE, 4505 MEADOWLARK CT   ,160600,174400,19500,21200,180100,195600,136400,163200,14000,16700,150400,179900
60924,Village of West Salem    ,0.476,WEST SALEM, 520 DRIFTWOOD ST   ,0,0,110800,115300,110800,115300,0,0,110800,111600,110800,111600
19598,Village of Bangor        ,0.13,BANGOR, 1416 JAMES ST   ,114700,121100,9900,10500,124600,131600,114700,116000,9900,10000,124600,126000
36016,City of La Crosse        ,0.16,LA CROSSE, 2219 WEST AVE  S,137400,149200,33800,36700,171200,185900,106200,127000,22000,26300,128200,153300
41213,City of Onalaska         ,0.17,ONALASKA, 126 8TH AVE  S,106700,107800,30000,30300,136700,138100,86500,94200,23900,26000,110400,120200
37475,City of La Crosse        ,0.206,LA CROSSE, 3174 29TH CT   S,117700,127800,22800,24800,140500,152600,100300,120000,21200,25400,121500,145400
43718,City of Onalaska         ,0.24,ONALASKA, 1226 COUNTY ROAD PH      W,119100,120400,31400,31700,150500,152100,107500,117100,26400,28800,133900,145900
21686,Village of Holmen        ,0.6,ONALASKA, 2206 FILLER CT   ,140900,137100,51300,49900,192200,187000,111500,131300,25900,30500,137400,161800
59908,Town of Hamilton         ,0.242,WEST SALEM, N5065 COUNTY ROAD M      ,29300,36500,24000,29900,53300,66400,29300,34100,24000,27900,53300,62000
6929,Town of Farmington       ,10.0,HOLMEN, N7818 COUNTY ROAD D      ,162500,205700,9000,11400,171500,217100,162500,193300,9000,10700,171500,204000
16201,Town of Shelby           ,1.02,LA CROSSE, N1149 BROOKSIDE DR   ,157300,175800,32600,36400,189900,212200,157300,169500,32600,35100,189900,204600
3302,Town of Campbell         ,0.22,LA CROSSE, 314 SHELLY LN   ,85200,91900,29500,31800,114700,123700,85200,91500,29500,31700,114700,123200
21677,Village of Holmen        ,0.25,HOLMEN, 3102 MARTIN LN   S,204400,198900,42500,41300,246900,240200,165100,194400,27500,32400,192600,226800
51824,Town of Barre            ,0.74,LA CROSSE,  COUNTY ROAD M      ,0,0,2400,2800,2400,2800,0,0,2400,2700,2400,2700
30780,City of La Crosse        ,0.064,LA CROSSE, 913 JOHNSON ST   ,45300,49200,8400,9100,53700,58300,36000,43100,7900,9500,43900,52600
13441,Town of Onalaska         ,3.23,ONALASKA,  US HIGHWAY 53      ,0,0,600,0,600,0,0,0,600,0,600,0
11300,Town of Holland          ,1.5,HOLMEN,  AMSTERDAM PRAIRIE RD   ,0,0,7300,9400,7300,9400,0,0,7300,8800,7300,8800
69091,Village of Holmen        ,0.38,HOLMEN, 3000 PERTZSCH DR   ,247600,240900,45900,44700,293500,285600,202800,238800,22000,25900,224800,264700
54291,Town of Shelby           ,1.81,LA CROSSE, 3223 EBNER COULEE RD   ,199100,222600,60300,67400,259400,290000,199100,214600,60300,65000,259400,279600
14542,Town of Onalaska         ,5.2,WEST SALEM, N5211 INNSBRUCK RD   N,254400,327300,55600,71500,310000,398800,254400,308400,55600,67400,310000,375800
60856,Town of Holland          ,0.77,HOLMEN, W8023 VERMEER ST   ,192700,247600,26800,34400,219500,282000,192700,232600,26800,32400,219500,265000
15532,Town of Onalaska         ,0.32,ONALASKA, W7759 COUNTY ROAD ZB      ,154400,198700,70200,90300,224600,289000,154400,187200,70200,85100,224600,272300
40633,City of Onalaska         ,0.34,ONALASKA, 600 4TH AVE  N,124600,125900,44500,45000,169100,170900,80800,88000,42300,46100,123100,134100
11127,Town of Holland          ,6.0,HOLMEN, W7443 COUNTY ROAD T      ,312800,401900,39000,50100,351800,452000,307300,371000,39000,47100,346300,418100
2796,Town of Campbell         ,0.26,LA CROSSE, 2747 GRAND AVE  ,111800,120500,31700,34200,143500,154700,111800,120100,31700,34100,143500,154200
48175,Town of Bangor           ,11.76,BANGOR,  STATE ROAD 162      ,0,0,2600,0,2600,0,0,0,2600,0,2600,0
15323,Town of Onalaska         ,0.27,ONALASKA, W7789 BALDUZZI DR   ,134200,172700,18900,24300,153100,197000,134200,162700,18900,22900,153100,185600
35275,City of La Crosse        ,0.315,LA CROSSE, 336 28TH ST   S,176200,191300,27300,29600,203500,220900,143200,171300,28100,33600,171300,204900
63301,City of La Crosse        ,1.58,LA CROSSE, 1520 CLINIC CT   ,3462600,3759800,604300,656200,4066900,4416000,2719900,3253700,604300,722900,3324200,3976600
39103,City of La Crosse        ,4.58,LA CROSSE, 2615 EAST AVE  S,1393600,1513200,608100,660300,2001700,2173500,1393600,1667100,608100,727400,2001700,2394500
48811,Town of Holland          ,0.93,HOLMEN, N6772 BRIGGS RD   ,99800,128200,17800,22900,117600,151100,99800,120500,17800,21500,117600,142000
55411,Town of Greenfield       ,0.71,LA CROSSE,  SIGEL CT   ,0,0,100,0,100,0,0,0,100,0,100,0
55575,Town of Barre            ,3.18,LA CROSSE, W4634 COUNTY ROAD O      ,106400,123500,30600,35500,137000,159000,106400,119900,30600,34500,137000,154400
32701,City of La Crosse        ,0.227,LA CROSSE, 1222 MADISON ST   ,130200,141400,53100,57700,183300,199100,104700,125200,40800,48800,145500,174000
41258,City of Onalaska         ,0.266,ONALASKA, 940 LA CROSSE ST   ,206000,208200,40500,40900,246500,249100,155900,169800,43300,47200,199200,217000
45238,Town of Bangor           ,8.21,BANGOR, N4341 FRITZ SCHROEDER RD   ,204400,0,20600,0,225000,0,204400,0,20600,0,225000,0
13624,Town of Onalaska         ,0.46,ONALASKA, W7079 EVERGREEN WAY  ,108800,140000,13800,17800,122600,157800,108800,131900,13800,16700,122600,148600
25590,City of La Crosse        ,0.128,LA CROSSE, 2217 WOOD ST   ,71500,77600,16500,17900,88000,95500,50300,60200,19500,23300,69800,83500
44587,City of Onalaska         ,0.12,ONALASKA, 1104 EAST AVE  N,160400,162100,22200,22400,182600,184500,131800,143500,21200,23100,153000,166600
22057,Village of Rockland      ,0.27,ROCKLAND, 107 WATER ST   ,128400,128500,19100,19100,147500,147600,98300,116200,18800,22200,117100,138400
53052,Town of Campbell         ,0.24,LA CROSSE, 346 TELLIN CT   ,203200,219100,31500,34000,234700,253100,196300,210900,31500,33800,227800,244700
54456,Town of Greenfield       ,1.75,LA CROSSE, W3834 STATE ROAD 33      ,140300,162800,30600,35500,170900,198300,140300,162700,30600,35500,170900,198200
60193,Village of Holmen        ,0.335,HOLMEN, 801 ROCKWOOD DR   ,248200,241500,55500,54000,303700,295500,194300,228800,36900,43500,231200,272300
70376,City of La Crosse        ,12.6,LA CROSSE, 1808 KRAMER ST   ,21661000,23520000,1046500,1136300,22707500,24656300,6211500,7430600,940400,1125000,7151900,8555600
21048,Village of Holmen        ,0.203,HOLMEN, 310 ANDERSON ST   ,185900,180900,37100,36100,223000,217000,157600,185600,27500,32400,185100,218000
60485,Town of Holland          ,3.726,HOLMEN, N6877 BRIGGS RD   ,292400,375700,47200,60700,339600,436400,292400,353000,47200,57000,339600,410000
40903,City of Onalaska         ,0.29,ONALASKA, 421 9TH AVE  N,169400,171200,36900,37300,206300,208500,116800,127200,35100,38200,151900,165400
51245,Town of Greenfield       ,31.93,LA CROSSE, W3902 STATE ROAD 33      ,292300,0,25700,0,318000,0,292300,0,25700,0,318000,0
45866,Town of Farmington       ,2.44,MELROSE, N9643 STATE ROAD 108      ,164600,208400,11900,15100,176500,223500,164600,195800,11900,14200,176500,210000
28203,City of La Crosse        ,0.121,LA CROSSE, 738 HILLVIEW AVE  ,155200,168500,23400,25400,178600,193900,122100,146100,22800,27300,144900,173400
1502,Town of Barre            ,40.0,LA CROSSE,  COUNTY ROAD I      ,0,0,60000,0,60000,0,0,0,60000,0,60000,0
70078,Village of West Salem    ,0.36,WEST SALEM, 104 WEST AVE  N,160900,167400,41500,43200,202400,210600,160900,162100,41500,41800,202400,203900
47941,Village of Holmen        ,0.27,HOLMEN, 1107 WESTERN AVE  ,193000,187800,43100,41900,236100,229700,154800,182300,27500,32400,182300,214700
10742,Town of Holland          ,0.207,HOLMEN, W8187 OLD CTH NA      ,90700,116500,5400,6900,96100,123400,90700,109500,5400,6500,96100,116000
25907,City of La Crosse        ,0.225,LA CROSSE, 1709 LOOMIS ST   ,178000,193300,26100,28300,204100,221600,141000,168700,30600,36600,171600,205300
42332,City of Onalaska         ,0.31,ONALASKA, 1616 HICKORY ST   ,207600,209800,46800,47300,254400,257100,197300,214900,46100,50200,243400,265100
44897,City of Onalaska         ,0.13,ONALASKA, 1015 WHISPERING WINDS PL   ,161200,162900,13500,13600,174700,176500,154600,168400,10500,11400,165100,179800
49045,Town of Farmington       ,1.43,HOLMEN, W5724 COUNTY ROAD D      ,109700,138900,9900,12500,119600,151400,109700,130500,9900,11800,119600,142300
10676,Town of Holland          ,1.07,HOLMEN, W8157 OLD CTH NA      ,75800,97400,19100,24500,94900,121900,75800,91500,19100,23100,94900,114600
37257,City of La Crosse        ,0.132,LA CROSSE, 2501 BARLOW ST   ,127400,138300,21800,23700,149200,162000,94800,113400,15200,18200,110000,131600
39538,City of La Crosse        ,0.232,LA CROSSE, 4510 OAK DR   ,221900,240900,58200,63200,280100,304100,191000,228500,35500,42500,226500,271000
16887,Town of Shelby           ,0.66,LA CROSSE, N1972 HICKORY LN   ,176800,197600,44700,50000,221500,247600,176800,190500,44700,48200,221500,238700
18569,Town of Shelby           ,0.65,LA CROSSE, W5599 SOUTHDALE DR   ,240600,269000,43500,48600,284100,317600,240600,259300,43500,46900,284100,306200
34073,City of La Crosse        ,0.141,LA CROSSE, 1622 REDFIELD ST   ,76700,83300,26200,28400,102900,111700,54100,64700,22500,26900,76600,91600
54001,Town of Barre            ,37.54,LA CROSSE, W3841 COUNTY ROAD M      ,163200,0,19000,0,182200,0,163200,0,19000,0,182200,0
36758,City of La Crosse        ,0.132,LA CROSSE, 2153 HYDE AVE  ,124300,135000,28800,31300,153100,166300,107500,128600,26400,31600,133900,160200
34022,City of La Crosse        ,0.066,LA CROSSE, 1237 JOHNSON ST   ,89600,97300,18100,19700,107700,117000,68800,82300,13600,16300,82400,98600
38334,City of La Crosse        ,0.148,LA CROSSE, 2842 22ND ST   S,92600,100500,21200,23000,113800,123500,64700,77400,17400,20800,82100,98200
54865,City of La Crosse        ,0.28,LA CROSSE, 3020 EBNER COULEE RD   ,304200,330300,80000,86900,384200,417200,236800,283300,75000,89700,311800,373000
6177,Town of Farmington       ,33.26,MINDORO,  STATE ROAD 108      ,0,0,2700,0,2700,0,0,0,2700,0,2700,0
58949,Village of West Salem    ,0.248,WEST SALEM, 450 LAKEWOOD ST   ,202200,210300,55800,58000,258000,268300,202200,203700,55800,56200,258000,259900
14960,Town of Onalaska         ,0.23,ONALASKA, W8213 COUNTY ROAD ZB      ,42200,54300,36400,46800,78600,101100,42200,51200,36400,44100,78600,95300
7760,Town of Greenfield       ,29.13,COON VALLEY, W2567 EVANS DWYER RD   ,330000,0,23800,0,353800,0,330000,0,23700,0,353700,0
71771,Town of Bangor           ,45.08,ROCKLAND, N3588 COUNTY ROAD J      ,175100,0,30400,0,205500,0,0,0,0,0,0,0
71658,Town of Bangor           ,0.26,WEST SALEM,  BANGOR INDUSTRIAL PKY  ,0,0,1300,1500,1300,1500,0,0,0,0,0,0
